Course Code,Exam Type,Date(s),Room Info
BIO-2005,Muntlig eksamen,Fra 4. desember  til 6. desember 2024,N/A
BIO-2016,Skriftlig skoleeksamen,Dato: 10. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
BIO-2017,Skriftlig skoleeksamen,Dato: 26. mai 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
BIO-2017,Skriftlig skoleeksamen,Dato: 27. november 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
BIO-2018,Oppgave,Innlevering: 2. mai 2025 kl. 14:00,N/A
BIO-2027,Skriftlig skoleeksamen,Dato: 27. november 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
BIO-2037,Oppgave,Innlevering: 4. desember 2024 kl. 14:00,N/A
BIO-2103,Muntlig eksamen,Fra 4. desember  til 6. desember 2024,N/A
BIO-2200,Oppgave,Innlevering: 16. desember 2024 kl. 14:00,N/A
BIO-2200,Oppgave,Innlevering: 2. juni 2025 kl. 14:00,N/A
BIO-2201,Assignment,Innlevering: 16. desember 2024 kl. 14:00,N/A
BIO-2201,Assignment,Innlevering: 2. juni 2025 kl. 14:00,N/A
BIO-2203,Assignment,Innlevering: 16. desember 2024 kl. 14:00,N/A
BIO-2203,Assignment,Innlevering: 2. juni 2025 kl. 14:00,N/A
BIO-2504,School exam,Dato: 12. desember 2024 kl. 09:00,"(TROMSO): Teorifagbygget hus 3 – Rom 3.218, lesesal (Tromsø)"
BIO-2506,School exam,Dato: 10. desember 2024 kl. 09:00,"(TROMSO): Teorifagbygget hus 3 – Rom 3.218, lesesal (Tromsø)"
BIO-2508,School exam,Dato: 27. november 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
BIO-2513,Skriftlig skoleeksamen,Dato: 19. mai 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
BIO-2516,Assignment,Innlevering: 21. mai 2025 kl. 14:00,N/A
BIO-2516,Assignment,Innlevering: 23. mai 2025 kl. 14:00,N/A
BIO-2601,Hjemmeeksamen,"Utlevering: 16. juni 2025 kl. 09:00
Innlevering: 16. juni 2025 kl. 13:00",N/A
BIO-2602,Skriftlig skoleeksamen,Dato: 20. mai 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)
BIO-2604,Skriftlig skoleeksamen,Dato: 28. november 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-2) Del 2
BIO-2606,Hjemmeeksamen,"Utlevering: 21. november 2024 kl. 09:00
Innlevering: 28. november 2024 kl. 14:00",N/A
BIO-2610,Assignment,Innlevering: 2. desember 2024 kl. 14:00,N/A
BIO-2610,Assignment,Innlevering: 2. juni 2025 kl. 14:00,N/A
BIO-2620,Assignment,Innlevering: 2. desember 2024 kl. 14:00,N/A
BIO-2620,Assignment,Innlevering: 2. juni 2025 kl. 14:00,N/A
BIO-3004,Assignment,Innlevering: 2. mai 2025 kl. 14:00,N/A
BIO-3009,Oral exam,Fra 4. desember  til 6. desember 2024,N/A
BIO-3011,School exam,Dato: 13. mai 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – K1.04 Eksamensrom (Tromsø)
BIO-3012,Assignment,Innlevering: 11. april 2025 kl. 14:00,N/A
BIO-3013,Oral exam,Dato: 9. desember 2024 kl. 08:00,N/A
BIO-3014,School exam,Dato: 28. november 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
BIO-3015,Oral exam,Fra 2. desember  til 5. desember 2024,N/A
BIO-3018,Oral exam,Fra 28. november  til 29. november 2024,N/A
BIO-3020,Assignment,Innlevering: 6. desember 2024 kl. 14:00,N/A
BIO-3020,School exam,Dato: 10. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
BIO-3021,Off campus exam,"Utlevering: 29. november 2024 kl. 09:00
Innlevering: 13. desember 2024 kl. 14:00",N/A
BIO-3027,Off campus exam,"Utlevering: 25. mars 2025 kl. 09:00
Innlevering: 25. april 2025 kl. 14:00",N/A
BIO-3029,Assignment,Innlevering: 24. februar 2025 kl. 14:00,N/A
BIO-3029,School exam,Dato: 4. mars 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)
BIO-3030,Assignment,Innlevering: 14. april 2025 kl. 14:00,N/A
BIO-3030,Assignment,Innlevering: 6. juni 2025 kl. 14:00,N/A
BIO-3032,Oral exam,Dato: 16. desember 2024 kl. 08:00,N/A
BIO-3032,Assignment,Innlevering: 22. november 2024 kl. 14:00,N/A
BIO-3032,School exam,Dato: 10. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
BIO-3503,School exam,Dato: 26. mai 2025 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
BIO-3505,Oral exam,Fra 27. november  til 28. november 2024,N/A
BIO-3512,School exam,Dato: 3. juni 2025 kl. 09:00,(TROMSO): Administrasjonsbygget – B154 Eksamensrom (Tromsø)
BIO-3516,Assignment,Innlevering: 27. november 2024 kl. 14:00,N/A
BIO-3516,Oral exam,Fra 11. desember  til 13. desember 2024,N/A
BIO-3519,Oral exam,Fra 10. desember  til 13. desember 2024,N/A
BIO-3529,Oral exam,Fra 19. november  til 21. november 2024,N/A
BIO-3602,Skriftlig skoleeksamen,Dato: 3. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-1) Del 1
BIO-3607,Skriftlig skoleeksamen,Dato: 10. desember 2024 kl. 09:00,(TROMSO): Kraft sportssenter – Idrettsbane (036-3) Del 3
